!sbeta_inv ebeta_inv  ! note that these vertical weights are different from those used in the regional domain.
 137
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.50     0.50
  0.55     0.45
  0.63     0.37
  0.70     0.30
  0.76     0.24
  0.81     0.19
  0.86     0.14
  0.91     0.09
  0.94     0.06
  0.98     0.02
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
  1.00     0.00
