!sbeta_inv ebeta_inv  ! note that these vertical weights are different from those used in the regional domain.   
  72
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5 
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5   
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5   
  0.5      0.5
  0.5      0.5
  0.5      0.5  
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.5      0.5
  0.55     0.45
  0.67     0.33
  0.76     0.24
  0.83     0.17
  0.89     0.11
  0.94     0.06
  0.98     0.02
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0
  1.0      0.0


