   DEC                             BIN
  =====   ============================================================
  number  cld  land   snow  mix   ice  water  omg  topo   sst  windspd 
    0      0     0     0     0     0     0     0     0     0     0
    1      1     0     0     0     0     0     0     0     0     0
    2      0     1     0     0     0     0     0     0     0     0
    3      1     1     0     0     0     0     0     0     0     0
    4      0     0     1     0     0     0     0     0     0     0
    5      1     0     1     0     0     0     0     0     0     0
    6      0     1     1     0     0     0     0     0     0     0
    7      1     1     1     0     0     0     0     0     0     0
    8      0     0     0     1     0     0     0     0     0     0
    9      1     0     0     1     0     0     0     0     0     0
   10      0     1     0     1     0     0     0     0     0     0
   11      1     1     0     1     0     0     0     0     0     0
   12      0     0     1     1     0     0     0     0     0     0
   13      1     0     1     1     0     0     0     0     0     0
   14      0     1     1     1     0     0     0     0     0     0
   15      1     1     1     1     0     0     0     0     0     0
   16      0     0     0     0     1     0     0     0     0     0
   17      1     0     0     0     1     0     0     0     0     0
   18      0     1     0     0     1     0     0     0     0     0
   19      1     1     0     0     1     0     0     0     0     0
   20      0     0     1     0     1     0     0     0     0     0
   21      1     0     1     0     1     0     0     0     0     0
   22      0     1     1     0     1     0     0     0     0     0
   23      1     1     1     0     1     0     0     0     0     0
   24      0     0     0     1     1     0     0     0     0     0
   25      1     0     0     1     1     0     0     0     0     0
   26      0     1     0     1     1     0     0     0     0     0
   27      1     1     0     1     1     0     0     0     0     0
   28      0     0     1     1     1     0     0     0     0     0
   29      1     0     1     1     1     0     0     0     0     0
   30      0     1     1     1     1     0     0     0     0     0
   31      1     1     1     1     1     0     0     0     0     0
   32      0     0     0     0     0     1     0     0     0     0
   33      1     0     0     0     0     1     0     0     0     0
   34      0     1     0     0     0     1     0     0     0     0
   35      1     1     0     0     0     1     0     0     0     0
   36      0     0     1     0     0     1     0     0     0     0
   37      1     0     1     0     0     1     0     0     0     0
   38      0     1     1     0     0     1     0     0     0     0
   39      1     1     1     0     0     1     0     0     0     0
   40      0     0     0     1     0     1     0     0     0     0
   41      1     0     0     1     0     1     0     0     0     0
   42      0     1     0     1     0     1     0     0     0     0
   43      1     1     0     1     0     1     0     0     0     0
   44      0     0     1     1     0     1     0     0     0     0
   45      1     0     1     1     0     1     0     0     0     0
   46      0     1     1     1     0     1     0     0     0     0
   47      1     1     1     1     0     1     0     0     0     0
   48      0     0     0     0     1     1     0     0     0     0
   49      1     0     0     0     1     1     0     0     0     0
   50      0     1     0     0     1     1     0     0     0     0
   51      1     1     0     0     1     1     0     0     0     0
   52      0     0     1     0     1     1     0     0     0     0
   53      1     0     1     0     1     1     0     0     0     0
   54      0     1     1     0     1     1     0     0     0     0
   55      1     1     1     0     1     1     0     0     0     0
   56      0     0     0     1     1     1     0     0     0     0
   57      1     0     0     1     1     1     0     0     0     0
   58      0     1     0     1     1     1     0     0     0     0
   59      1     1     0     1     1     1     0     0     0     0
   60      0     0     1     1     1     1     0     0     0     0
   61      1     0     1     1     1     1     0     0     0     0
   62      0     1     1     1     1     1     0     0     0     0
   63      1     1     1     1     1     1     0     0     0     0
   64      0     0     0     0     0     0     1     0     0     0
   65      1     0     0     0     0     0     1     0     0     0
   66      0     1     0     0     0     0     1     0     0     0
   67      1     1     0     0     0     0     1     0     0     0
   68      0     0     1     0     0     0     1     0     0     0
   69      1     0     1     0     0     0     1     0     0     0
   70      0     1     1     0     0     0     1     0     0     0
   71      1     1     1     0     0     0     1     0     0     0
   72      0     0     0     1     0     0     1     0     0     0
   73      1     0     0     1     0     0     1     0     0     0
   74      0     1     0     1     0     0     1     0     0     0
   75      1     1     0     1     0     0     1     0     0     0
   76      0     0     1     1     0     0     1     0     0     0
   77      1     0     1     1     0     0     1     0     0     0
   78      0     1     1     1     0     0     1     0     0     0
   79      1     1     1     1     0     0     1     0     0     0
   80      0     0     0     0     1     0     1     0     0     0
   81      1     0     0     0     1     0     1     0     0     0
   82      0     1     0     0     1     0     1     0     0     0
   83      1     1     0     0     1     0     1     0     0     0
   84      0     0     1     0     1     0     1     0     0     0
   85      1     0     1     0     1     0     1     0     0     0
   86      0     1     1     0     1     0     1     0     0     0
   87      1     1     1     0     1     0     1     0     0     0
   88      0     0     0     1     1     0     1     0     0     0
   89      1     0     0     1     1     0     1     0     0     0
   90      0     1     0     1     1     0     1     0     0     0
   91      1     1     0     1     1     0     1     0     0     0
   92      0     0     1     1     1     0     1     0     0     0
