
#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   003 1    gps
0    19000101 000000   29991231 240000   004 1    gps

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   041 1    gps
0    19000101 000000   29991231 240000   042 1    gps

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   100 1    dw
0    19000101 000000   29991231 240000   101 1    dw

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   102 1    pm2_5

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   112 1    tcp

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   120 3    ps q t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   126 1    t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   130 2    q t
0    19000101 000000   29991231 240000   131 2    q t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   132 3    ps q t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   133 2    q t
0    19000101 000000   29991231 240000   134 2    q t
0    19000101 000000   29991231 240000   135 2    q t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   152 1    pw
0    19000101 000000   29991231 240000   153 1    pw
0    19000101 000000   29991231 240000   156 1    pw
0    19000101 000000   29991231 240000   157 1    pw
0    19000101 000000   29991231 240000   158 1    pw
0    19000101 000000   29991231 240000   159 1    pw

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   180 3    ps q t
562  19000101 000000   29991231 240000   180 3    ps q t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   181 4    ps q sst t
0    19000101 000000   29991231 240000   182 4    ps q sst t
0    19000101 000000   29991231 240000   183 4    ps q sst t

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   184 1    sst
0    19000101 000000   29991231 240000   185 1    sst
0    19000101 000000   29991231 240000   186 1    sst

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   187 4    ps q sst t
0    19000101 000000   29991231 240000   191 #   2    ps sst

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   188 1    sst
0    19000101 000000   29991231 240000   189 1    sst
0    19000101 000000   29991231 240000   190 1    sst
0    19000101 000000   29991231 240000   192 1    sst
0    19000101 000000   29991231 240000   193 1    sst
0    19000101 000000   29991231 240000   194 1    sst
0    19000101 000000   29991231 240000   195 1    sst
0    19000101 000000   29991231 240000   196 1    sst
0    19000101 000000   29991231 240000   197 1    sst
0    19000101 000000   29991231 240000   198 1    sst
0    19000101 000000   29991231 240000   199 1    sst
0    19000101 000000   29991231 240000   200 1    sst

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   201 2    dw sst
0    19000101 000000   29991231 240000   202 2    dw sst

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   210 1    uv
0    19000101 000000   29991231 240000   220 1    uv
0    19000101 000000   29991231 240000   221 1    uv
0    19000101 000000   29991231 240000   223 1    uv
0    19000101 000000   29991231 240000   224 1    uv
0    19000101 000000   29991231 240000   228 1    uv
0    19000101 000000   29991231 240000   229 1    uv
0    19000101 000000   29991231 240000   230 1    uv
0    19000101 000000   29991231 240000   231 1    uv
0    19000101 000000   29991231 240000   232 1    uv
0    19000101 000000   29991231 240000   233 1    uv
0    19000101 000000   29991231 240000   234 1    uv
0    19000101 000000   29991231 240000   235 1    uv
0    19000101 000000   29991231 240000   241 1    uv
0    19000101 000000   29991231 240000   242 1    uv
0    19000101 000000   29991231 240000   243 1    uv
55   19000101 000000   29991231 240000   243 1    uv
56   19000101 000000   29991231 240000   243 1    uv
57   19000101 000000   29991231 240000   243 1    uv
0    19000101 000000   29991231 240000   244 1    uv
0    19000101 000000   29991231 240000   245 1    uv
1    19000101 000000   29991231 240000   245 1    uv
15   19000101 000000   29991231 240000   245 1    uv
0    19000101 000000   29991231 240000   246 1    uv
15   19000101 000000   29991231 240000   246 1    uv
0    19000101 000000   29991231 240000   247 1    uv
0    19000101 000000   29991231 240000   248 1    uv
0    19000101 000000   29991231 240000   249 1    uv
0    19000101 000000   29991231 240000   250 1    uv
0    19000101 000000   29991231 240000   251 1    uv
15   19000101 000000   29991231 240000   251 1    uv
0    19000101 000000   29991231 240000   252 1    uv
0    19000101 000000   29991231 240000   253 1    uv
55   19000101 000000   29991231 240000   253 1    uv
56   19000101 000000   29991231 240000   253 1    uv
57   19000101 000000   29991231 240000   253 1    uv
0    19000101 000000   29991231 240000   254 1    uv
55   19000101 000000   29991231 240000   254 1    uv
